1,Bolesławiec
2,Gromadka
3,Nowogrodziec
4,Osiecznica
5,Warta Bolesławiecka
6,Jawor
7,Bolków
8,Męcinka
9,Mściwojów
10,Paszowice
11,Wądroże Wielkie
12,Karpacz
13,Kowary
14,Piechowice
15,Szklarska Poręba
16,Janowice Wielkie
17,Jeżów Sudecki
18,Mysłakowice
19,Podgórzyn
20,Stara Kamienica
21,Kamienna Góra
22,Lubawka
23,Marciszów
24,Lubań
25,Świeradów-Zdrój
26,Leśna
27,Olszyna
28,Platerówka
29,Siekierczyn
30,Gryfów Śląski
31,Lubomierz
32,Lwówek Śląski
33,Mirsk
34,Wleń
35,Zawidów
36,Zgorzelec
37,Bogatynia
38,Pieńsk
39,Sulików
40,Węgliniec
41,Wojcieszów
42,Złotoryja
43,Pielgrzymka
44,Świerzawa
45,Zagrodno
46,Jelenia Góra
47,Głogów
48,Jerzmanowa
49,Kotla
50,Pęcław
51,Żukowice
52,Góra
53,Jemielno
54,Niechlów
55,Wąsosz
56,Chojnów
57,Krotoszyce
58,Kunice
59,Legnickie Pole
60,Miłkowice
61,Prochowice
62,Ruja
63,Lubin
64,Rudna
65,Ścinawa
66,Chocianów
67,Gaworzyce
68,Grębocice
69,Polkowice
70,Przemków
71,Radwanice
72,Legnica
73,Bielawa
74,Dzierżoniów
75,Pieszyce
76,Piława Górna
77,Łagiewniki
78,Niemcza
79,Duszniki
80,Kłodzko
81,Kudowa-Zdrój
82,Nowa Ruda
83,Polanica-Zdrój
84,Bystrzyca Kłodzka
85,Lądek-Zdrój
86,Lewin Kłodzki
87,Międzylesie
88,Radków
89,Stronie Śląskie
90,Szczytna
91,Świdnica
92,Świebodzice
93,Dobromierz
94,Jaworzyna Śląska
95,Marcinowice
96,Strzegom
97,Żarów
98,Boguszów-Gorce
99,Jedlina-Zdrój
100,Szczawno
101,Czarny Bór
102,Głuszyca
103,Mieroszów
104,Stare Bogaczowice
105,Walim
106,Wałbrzych
107,Bardo
108,Ciepłowody
109,Kamieniec Ząbkowicki
110,Stoszowice
111,Ząbkowice Śląskie
112,Ziębice
113,Złoty Stok
114,Cieszków
115,Krośnice
116,Milicz
117,Oleśnica
118,Bierutów
119,Dobroszyce
120,Dziadowa Kłoda
121,Międzybórz
122,Syców
123,Twardogóra
124,Oława
125,Domaniów
126,Jelcz-Laskowice
127,Borów
128,Kondratowice
129,Przeworno
130,Strzelin
131,Wiązów
132,Kostomłoty
133,Malczyce
134,Miękinia
135,Środa Śląska
136,Udanin
137,Oborniki Śląskie
138,Prusice
139,Trzebnica
140,Wisznia Mała
141,Zawonia
142,Żmigród
143,Brzeg Dolny
144,Wińsko
145,Wołów
146,Czernica
147,Długołęka
148,Jordanów Śląski
149,Kąty Wrocławskie
150,Kobierzyce
151,Mietków
152,Sobótka
153,Święta Katarzyna
154,Siechnice
155,Żórawina
156,Wrocław
157,Białe Błota
158,Dąbrowa Chełmińska
159,Dobrcz
160,Koronowo
161,Nowa Wieś Wielka
162,Osielsko
163,Sicienko
164,Solec Kujawski
165,Chełmża
166,Czernikowo
167,Lubicz
168,Łubianka
169,Łysomice
170,Obrowo
171,Wielka Nieszawka
172,Zławieś Wielka
173,Bydgoszcz
174,Toruń
175,Brodnica
176,Bobrowo
177,Brzozie
178,Górzno
179,Bartniczka
180,Jabłonowo Pomorskie
181,Osiek
182,Świedziebnia
183,Zbiczno
184,Chełmno
185,Kijewo Królewskie
186,Lisewo
187,Papowo Biskupie
188,Stolno
189,Unisław
190,Golub-Dobrzyń
191,Ciechocin
192,Kowalewo Pomorskie
193,Radomin
194,Zbójno
195,Grudziądz
196,Gruta
197,Łasin
198,Radzyń Chełmiński
199,Rogóźno
200,Świecie nad Osą
201,Kamień Krajeński
202,Sępólno Krajeńskie
203,Sośno
204,Więcbork
205,Bukowiec
206,Dragacz
207,Drzycim
208,Jeżewo
209,Lniano
210,Nowe
211,Osie
212,Pruszcz
213,Świecie
214,Świekatowo
215,Warlubie
216,Cekcyn
217,Gostycyn
218,Kęsowo
219,Lubiewo
220,Śliwice
221,Tuchola
222,Wąbrzeźno
223,Dębowa Łąka
224,Książki
225,Płużnica
226,Aleksandrów Kujawski
227,Ciechocinek
228,Nieszawa
229,Bądkowo
230,Koneck
231,Raciążek
232,Waganiec
233,Zakrzewo
234,Inowrocław
235,Dąbrowa Biskupia
236,Gniewkowo
237,Janikowo
238,Kruszwica
239,Pakość
240,Rojewo
241,Złotniki Kujawskie
242,Lipno
243,Bobrowniki
244,Chrostkowo
245,Dobrzyń nad Wisłą
246,Kikół
247,Skępe
248,Tłuchowo
249,Wielgie
250,Dąbrowa
251,Jeziora Wielkie
252,Mogilno
253,Strzelno
254,Kcynia
255,Mrocza
256,Nakło nad Notecią
257,Sadki
258,Szubin
259,Radziejów
260,Bytoń
261,Dobre
262,Osięciny
263,Piotrków Kujawski
264,Topólka
265,Rypin
266,Brzuze
267,Rogowo
268,Skrwilno
269,Wąpielsk
270,Kowal
271,Baruchowo
272,Boniewo
273,Brześć Kujawski
274,Choceń
275,Chodecz
276,Fabianki
277,Izbica Kujawska
278,Lubanie
279,Lubień Kujawski
280,Lubraniec
281,Włocławek
282,Barcin
283,Gąsawa
284,Janowiec Wielkopolski
285,Łabiszyn
286,Żnin
287,Międzyrzec Podlaski
288,Terespol
289,Biała Podlaska
290,Drelów
291,Janów Podlaski
292,Kodeń
293,Konstantynów
294,Leśna Podlaska
295,Łomazy
296,Piszczac
297,Rokitno
298,Rossosz
299,Sławatycze
300,Sosnówka
301,Tuczna
302,Wisznice
303,Zalesie
304,Dębowa Kłoda
305,Jabłoń
306,Milanów
307,Parczew
308,Podedwórze
309,Siemień
